('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin1', 'ps2', '', '', '', '', '', ''): 4
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin1', 'ps3', '', '', '', '', '', ''): 27
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin1', 'ms3', '', '', '', '', '', ''): 13
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin2', 'ps2', '', '', '', '', '', ''): 22
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin2', 'ms2', '', '', '', '', '', ''): 168
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin2', 'ps3', '', '', '', '', '', ''): 55
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin2', 'ms3', '', '', '', '', '', ''): 403
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin3', 'ps2', '', '', '', '', '', ''): 119
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin3', 'ms2', '', '', '', '', '', ''): 18
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin3', 'ps3', '', '', '', '', '', ''): 291
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin3', 'ms3', '', '', '', '', '', ''): 436
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin4', 'ms1', '', '', '', '', '', ''): 6
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin4', 'ps2', '', '', '', '', '', ''): 353
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin4', 'ms2', '', '', '', '', '', ''): 6
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin4', 'ps3', '', '', '', '', '', ''): 1033
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin4', 'ms3', '', '', '', '', '', ''): 7
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin5', 'ms1', '', '', '', '', '', ''): 2
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin5', 'ps2', '', '', '', '', '', ''): 8
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin5', 'ms2', '', '', '', '', '', ''): 2
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin5', 'ps3', '', '', '', '', '', ''): 131
('CCQETemplateReweight_SBNNuSyst_multisigma_SF_q0bin5', 'ms3', '', '', '', '', '', ''): 2
('CCQETemplateReweight_SBNNuSyst_multisigma_CRPA_q0bin1', 'ms1', '', '', '', '', '', ''): 1
('CCQETemplateReweight_SBNNuSyst_multisigma_CRPA_q0bin1', 'ms2', '', '', '', '', '', ''): 11
('CCQETemplateReweight_SBNNuSyst_multisigma_CRPA_q0bin1', 'ps3', '', '', '', '', '', ''): 1
('CCQETemplateReweight_SBNNuSyst_multisigma_CRPA_q0bin1', 'ms3', '', '', '', '', '', ''): 19
('CCQETemplateReweight_SBNNuSyst_multisigma_CRPA_q0bin2', 'ms2', '', '', '', '', '', ''): 19
('CCQETemplateReweight_SBNNuSyst_multisigma_CRPA_q0bin2', 'ps3', '', '', '', '', '', ''): 27
('CCQETemplateReweight_SBNNuSyst_multisigma_CRPA_q0bin2', 'ms3', '', '', '', '', '', ''): 54
('CCQETemplateReweight_SBNNuSyst_multisigma_CRPA_q0bin3', 'ms2', '', '', '', '', '', ''): 5
('CCQETemplateReweight_SBNNuSyst_multisigma_CRPA_q0bin3', 'ms3', '', '', '', '', '', ''): 36
('CCQETemplateReweight_SBNNuSyst_multisigma_CRPA_q0bin4', 'ms1', '', '', '', '', '', ''): 2
('CCQETemplateReweight_SBNNuSyst_multisigma_CRPA_q0bin4', 'ps2', '', '', '', '', '', ''): 1
('CCQETemplateReweight_SBNNuSyst_multisigma_CRPA_q0bin4', 'ms2', '', '', '', '', '', ''): 2
('CCQETemplateReweight_SBNNuSyst_multisigma_CRPA_q0bin4', 'ps3', '', '', '', '', '', ''): 4
('CCQETemplateReweight_SBNNuSyst_multisigma_CRPA_q0bin4', 'ms3', '', '', '', '', '', ''): 3
('GENIEReWeight_SBNNuSyst_multisigma_EDepFSI_FrCEx_pi', 'ps3', '', '', '', '', '', ''): 56
('GENIEReWeight_SBNNuSyst_multisigma_EDepFSI_FrInel_pi', 'ps3', '', '', '', '', '', ''): 72
('GENIEReWeight_SBNNuSyst_multisigma_EDepFSI_FrAbs_pi', 'ps2', '', '', '', '', '', ''): 2
('GENIEReWeight_SBNNuSyst_multisigma_EDepFSI_FrAbs_pi', 'ps3', '', '', '', '', '', ''): 1
('GENIEReWeight_SBNNuSyst_multisigma_EDepFSI_FrPiProd_pi', 'ps2', '', '', '', '', '', ''): 5
('GENIEReWeight_SBNNuSyst_multisigma_EDepFSI_FrPiProd_pi', 'ps3', '', '', '', '', '', ''): 1
('GENIEReWeight_SBN_v1_multisigma_FrCEx_pi', 'ms3', '', '', '', '', '', ''): 56
('GENIEReWeight_SBN_v1_multisigma_FrInel_pi', 'ms3', '', '', '', '', '', ''): 72
('GENIEReWeight_SBN_v1_multisigma_FrAbs_pi', 'ms2', '', '', '', '', '', ''): 2
('GENIEReWeight_SBN_v1_multisigma_FrAbs_pi', 'ms3', '', '', '', '', '', ''): 1
('GENIEReWeight_SBN_v1_multisigma_FrPiProd_pi', 'ms2', '', '', '', '', '', ''): 5
('GENIEReWeight_SBN_v1_multisigma_FrPiProd_pi', 'ms3', '', '', '', '', '', ''): 1
('GENIEReWeight_SBN_v1_multisigma_FrCEx_N', 'ms2', '', '', '', '', '', ''): 341
('GENIEReWeight_SBN_v1_multisigma_FrCEx_N', 'ms3', '', '', '', '', '', ''): 1085
