('pfp', 'trk', 'start', 'x', '', ''): (min = -188.85128784179688, max = 172.9085235595703)
('pfp', 'trk', 'start', 'y', '', ''): (min = -202.23690795898438, max = 201.71975708007812)
('pfp', 'trk', 'start', 'z', '', ''): (min = 0.8344054818153381, max = 425.2109680175781)
('pfp', 'trk', 'end', 'x', '', ''): (min = -201.3308868408203, max = 191.6647491455078)
('pfp', 'trk', 'end', 'y', '', ''): (min = -204.06773376464844, max = 204.15371704101562)
('pfp', 'trk', 'end', 'z', '', ''): (min = 0.7802965044975281, max = 506.9201965332031)
('pfp', 'trk', 'dir', 'x', '', ''): (min = -0.7593125700950623, max = 0.6211259365081787)
('pfp', 'trk', 'dir', 'y', '', ''): (min = -0.9997431039810181, max = 0.9992271661758423)
('pfp', 'trk', 'dir', 'z', '', ''): (min = -0.8680715560913086, max = 0.9998674392700195)
('pfp', 'trk', 'len', '', '', ''): (min = 0.615877628326416, max = 421.3254699707031)
('pfp', 'trk', 'rangeP', 'p_muon', '', ''): (min = 0.04533042386174202, max = 1.054259181022644)
('pfp', 'trk', 'mcsP', 'fwdP_muon', '', ''): (min = 0.10999999940395355, max = 7.5)
('pfp', 'trk', 'rangeP', 'p_pion', '', ''): (min = 0.055672526359558105, max = 1.0855337381362915)
('pfp', 'trk', 'mcsP', 'fwdP_pion', '', ''): (min = 0.2800000011920929, max = 7.5)
('pfp', 'trk', 'rangeP', 'p_proton', '', ''): (min = 0.2068360298871994, max = 1.9560775756835938)
('pfp', 'trk', 'mcsP', 'fwdP_proton', '', ''): (min = 0.12999999523162842, max = 7.5)
('pfp', 'trk', 'bestplane', '', '', ''): (min = 0, max = 2)
('pfp', 'trk', 'crthit', 'distance', '', ''): (min = nan, max = nan)
('pfp', 'trk', 'crthit', 'hit', 'time', ''): (min = nan, max = nan)
('pfp', 'trk', 'crthit', 'hit', 'pe', ''): (min = nan, max = nan)
('pfp', 'trk', 'chi2pid', 'I2', 'pid_ndof', ''): (min = 0, max = 85)
('pfp', 'trk', 'chi2pid', 'I2', 'chi2_muon', ''): (min = 0.0, max = 41.97547149658203)
('pfp', 'trk', 'chi2pid', 'I2', 'chi2_proton', ''): (min = 0.0, max = 554.2742309570312)
('pfp', 'trk', 'chi2pid', 'I2', 'pida', ''): (min = 0.0, max = 16.86944007873535)
('pfp', 'parent_is_primary', '', '', '', ''): (min = 0, max = 1)
('pfp', 'slcID', '', '', '', ''): (min = 22, max = 120)
('pfp', 'trackScore', '', '', '', ''): (min = 0.502317488193512, max = 0.8617697358131409)
('pfp', 'id', '', '', '', ''): (min = 1, max = 52)
('pfp', 'trk', 'truth', 'p', 'pdg', ''): (min = -13, max = 2212)
('pfp', 'trk', 'truth', 'p', 'start', 'x'): (min = -201.3000030517578, max = 201.3000030517578)
('pfp', 'trk', 'truth', 'p', 'start', 'y'): (min = -198.5174560546875, max = 203.7322540283203)
('pfp', 'trk', 'truth', 'p', 'start', 'z'): (min = 0.7730265855789185, max = 497.1985168457031)
('pfp', 'trk', 'truth', 'p', 'end', 'x'): (min = -201.3000030517578, max = 201.3000030517578)
('pfp', 'trk', 'truth', 'p', 'end', 'y'): (min = -203.7322540283203, max = 203.7322540283203)
('pfp', 'trk', 'truth', 'p', 'end', 'z'): (min = 0.5530709624290466, max = 584.255615234375)
('pfp', 'trk', 'truth', 'p', 'genp', 'x'): (min = -6.534895896911621, max = 1.7929869890213013)
('pfp', 'trk', 'truth', 'p', 'genp', 'y'): (min = -17.06846809387207, max = 0.5823086500167847)
('pfp', 'trk', 'truth', 'p', 'genp', 'z'): (min = -12.661123275756836, max = 7.362916946411133)
('pfp', 'trk', 'truth', 'p', 'length', ''): (min = 0.0, max = 442.793701171875)
('pfp', 'trk', 'truth', 'p', 'cont_tpc', ''): (min = 0, max = 1)
('pfp', 'trk', 'truth', 'p', 'contained', ''): (min = 0, max = 1)
('pfp', 'trk', 'truth', 'p', 'genE', ''): (min = 0.00628230907022953, max = 18.732759475708008)
('pfp', 'trk', 'chi2pid', 'I2', 'chi2_muon_alpha_embm1', ''): (min = 0.0, max = 46.823456751421986)
('pfp', 'trk', 'chi2pid', 'I2', 'ndof_muon_alpha_embm1', ''): (min = 0.0, max = 81.0)
('pfp', 'trk', 'chi2pid', 'I2', 'chi2_proton_alpha_embm1', ''): (min = 0.0, max = 546.3389283545481)
('pfp', 'trk', 'chi2pid', 'I2', 'ndof_proton_alpha_embm1', ''): (min = 0.0, max = 81.0)
('pfp', 'trk', 'chi2pid', 'I2', 'chi2_muon_alpha_emb00', ''): (min = 0.0, max = 47.79853979228271)
('pfp', 'trk', 'chi2pid', 'I2', 'ndof_muon_alpha_emb00', ''): (min = 0.0, max = 81.0)
('pfp', 'trk', 'chi2pid', 'I2', 'chi2_proton_alpha_emb00', ''): (min = 0.0, max = 554.3124330433153)
('pfp', 'trk', 'chi2pid', 'I2', 'ndof_proton_alpha_emb00', ''): (min = 0.0, max = 81.0)
('pfp', 'trk', 'chi2pid', 'I2', 'chi2_muon_alpha_embp1', ''): (min = 0.0, max = 48.783116715396766)
('pfp', 'trk', 'chi2pid', 'I2', 'ndof_muon_alpha_embp1', ''): (min = 0.0, max = 81.0)
('pfp', 'trk', 'chi2pid', 'I2', 'chi2_proton_alpha_embp1', ''): (min = 0.0, max = 562.3213073565496)
('pfp', 'trk', 'chi2pid', 'I2', 'ndof_proton_alpha_embp1', ''): (min = 0.0, max = 81.0)
